recv_hostname,reply_src,reply_dest,request_src,request_dest,recv_time,send_time,TTL,recv_client_id,sender_client_id
client2.nl,8.8.8.8,130.89.84.95,0.0.0.0,8.8.8.8,1678196183913782200,1678196183909400000,116,1,1
client2.nl,8.8.8.8,130.89.84.95,0.0.0.0,8.8.8.8,1678196183913792600,1678196183909399700,116,1,0
client2.nl,1.1.1.1,130.89.84.95,0.0.0.0,1.1.1.1,1678196183915215400,1678196183909626300,57,1,0
client2.nl,1.1.1.1,130.89.84.95,0.0.0.0,1.1.1.1,1678196183915219800,1678196183909653900,57,1,1
client1.nl,8.8.8.8,130.89.84.95,0.0.0.0,8.8.8.8,1678196183913782200,1678196183909400000,116,0,1
client1.nl,8.8.8.8,130.89.84.95,0.0.0.0,8.8.8.8,1678196183913792500,1678196183909399700,116,0,0
client1.nl,1.1.1.1,130.89.84.95,0.0.0.0,1.1.1.1,1678196183915208600,1678196183909626300,57,0,0
client1.nl,1.1.1.1,130.89.84.95,0.0.0.0,1.1.1.1,1678196183915213100,1678196183909653900,57,0,1
